1748799723.159909  2469 execve(0xffffdd66c0f0, 0xaaaafdd703f0, 0xffffdd66cac0, 0xffffdd66c0f0, 0xaaaafdd704c8, 0xffffdd66c10d)
1748799723.174404  2469 mmap(0xffffa55ea000, 0x2fc8, 0x3, 0x32, 0xffffffffffffffff, 0x0)
1748799723.174492  2469 close(0x3, 0xffffa5479000, 0xffffa577a040, 0x6, 0xffffa54792b8, 0xffffffff90000000)
1748799723.174550  2469 close(0x0, 0xffffa5479000, 0xffffa577a040, 0x6, 0xffffa54792b8, 0xffffffff90000000)
1748799723.174618  2469 mmap(0x0, 0x2000, 0x3, 0x22, 0xffffffffffffffff, 0x0)
1748799723.174658  2469 mmap(0xffffa5778000, 0x2000, 0x3, 0x22, 0xffffffffffffffff, 0x0)
1748799723.175006  2469 mprotect(0xffffa55e4000, 0x4000, 0x1, 0xfffffffffffff000, 0x3418, 0x15)
1748799723.175090  2469 mprotect(0x0, 0x4000, 0x1, 0xfffffffffffff000, 0x3418, 0x15)
1748799723.175149  2469 mprotect(0xffffa5615000, 0x1000, 0x1, 0xfffffffffffff000, 0x3b0, 0x0)
1748799723.175244  2469 mprotect(0x0, 0x1000, 0x1, 0xfffffffffffff000, 0x3b0, 0x0)
1748799723.175390  2469 mprotect(0xffffa564c000, 0x2000, 0x1, 0xfffffffffffff000, 0x1d58, 0x0)
1748799723.175457  2469 mprotect(0x0, 0x2000, 0x1, 0xfffffffffffff000, 0x1d58, 0x0)
1748799723.175504  2469 mprotect(0xffffa56f8000, 0x1000, 0x1, 0xfffffffffffff000, 0x2a8, 0x0)
1748799723.175546  2469 mprotect(0x0, 0x1000, 0x1, 0xfffffffffffff000, 0x2a8, 0x0)
1748799723.175612  2469 mprotect(0xffffa570c000, 0x1000, 0x1, 0xfffffffffffff000, 0x270, 0x0)
1748799723.175701  2469 mprotect(0x0, 0x1000, 0x1, 0xfffffffffffff000, 0x270, 0x0)
1748799723.175750  2469 mprotect(0xffffa5720000, 0x1000, 0x1, 0xfffffffffffff000, 0x2b8, 0x14)
1748799723.175791  2469 mprotect(0x0, 0x1000, 0x1, 0xfffffffffffff000, 0x2b8, 0x14)
1748799723.175833  2469 mprotect(0xffffa574d000, 0x1000, 0x1, 0xfffffffffffff000, 0x410, 0x14)
1748799723.175882  2469 mprotect(0x0, 0x1000, 0x1, 0xfffffffffffff000, 0x410, 0x14)
1748799723.175937  2469 mprotect(0x8d1000, 0x1000, 0x1, 0xfffffffffffff000, 0x280, 0x915960)
1748799723.175979  2469 mprotect(0x0, 0x1000, 0x1, 0xfffffffffffff000, 0x280, 0x915960)
1748799723.176026  2469 mprotect(0xffffa5784000, 0x1000, 0x1, 0xfffffffffffff000, 0xb08, 0xc)
1748799723.176070  2469 mprotect(0x0, 0x1000, 0x1, 0xfffffffffffff000, 0xb08, 0xc)
1748799723.176107  2469 munmap(0xffffa577e000, 0x2bcb, 0xffffa5786178, 0x0, 0xb08, 0xc)
1748799723.176159  2469 munmap(0x0, 0x2bcb, 0xffffa5786178, 0x0, 0xb08, 0xc)
1748799723.176199  2469 set_tid_address(0xffffa57780e0, 0x8d1d90, 0xffffa5778710, 0xffffa5778010, 0x0, 0xc)
1748799723.176238  2469 set_tid_address(0x9a5, 0x8d1d90, 0xffffa5778710, 0xffffa5778010, 0x0, 0xc)
1748799723.176275  2469 set_robust_list(0xffffa57780f0, 0x18, 0xffffa5778710, 0xffffa5778010, 0xffffa57780f0, 0x1)
1748799723.176313  2469 set_robust_list(0x0, 0x18, 0xffffa5778710, 0xffffa5778010, 0xffffa57780f0, 0x1)
1748799723.176358  2469 rt_sigaction(0x20, 0xffffe134abf8, 0x0, 0x8, 0x0, 0x4)
1748799723.176427  2469 rt_sigaction(0x0, 0xffffe134abf8, 0x0, 0x8, 0x0, 0x4)
1748799723.176466  2469 rt_sigaction(0x21, 0xffffe134abf8, 0x0, 0x8, 0x0, 0x10000004)
1748799723.176502  2469 rt_sigaction(0x0, 0xffffe134abf8, 0x0, 0x8, 0x0, 0x10000004)
1748799723.176554  2469 rt_sigprocmask(0x1, 0xffffe134ad88, 0x0, 0x8, 0x180000000, 0x10000004)
1748799723.176595  2469 rt_sigprocmask(0x0, 0xffffe134ad88, 0x0, 0x8, 0x180000000, 0x10000004)
1748799723.176641  2469 prlimit64(0x0, 0x3, 0x0, 0xffffe134ad70, 0xffffa574e2e8, 0xf)
1748799723.176679  2469 prlimit64(0x0, 0x3, 0x0, 0xffffe134ad70, 0xffffa574e2e8, 0xf)
1748799723.179045  2469 brk(0x0, 0x0, 0x128f, 0x29, 0x4, 0x3)
1748799723.179078  2469 brk(0x211be000, 0x0, 0x128f, 0x29, 0x4, 0x3)
1748799723.179114  2469 brk(0x211df000, 0x211df000, 0xffffa55eb678, 0x29, 0x4, 0x3)
1748799723.179152  2469 brk(0x211df000, 0x211df000, 0xffffa55eb678, 0x29, 0x4, 0x3)
1748799723.180741  2469 openat(0xffffffffffffff9c, 0xffffa55a2900, 0x80000, 0x0, 0x211be3e0, 0x0)
1748799723.181334  2469 openat(0xfffffffffffffffe, 0xffffa55a2900, 0x80000, 0x0, 0x211be3e0, 0x0)
1748799723.181377  2469 openat(0xffffffffffffff9c, 0xffffe134a460, 0x80000, 0x0, 0x8, 0x42)
1748799723.181691  2469 openat(0xfffffffffffffffe, 0xffffe134a460, 0x80000, 0x0, 0x8, 0x42)
1748799723.181729  2469 openat(0xffffffffffffff9c, 0x211be660, 0x80000, 0x0, 0x0, 0x0)
1748799723.181998  2469 openat(0x3, 0x211be660, 0x80000, 0x0, 0x0, 0x0)
1748799723.182036  2469 fstat(0x3, 0xffffe134a678, 0xffffe134a678, 0x3, 0x0, 0x0)
1748799723.182069  2469 fstat(0x0, 0xffffe134a678, 0xffffe134a678, 0x3, 0x0, 0x0)
1748799723.182101  2469 mmap(0x0, 0x54814, 0x1, 0x2, 0x3, 0x0)
1748799723.182148  2469 mmap(0xffffa5424000, 0x54814, 0x1, 0x2, 0x3, 0x0)
1748799723.182179  2469 close(0x3, 0x54814, 0x1, 0x2, 0x3, 0x0)
1748799723.182212  2469 close(0x0, 0x54814, 0x1, 0x2, 0x3, 0x0)
1748799723.183130  2469 openat(0xffffffffffffff9c, 0xffffa55a26b8, 0x0, 0x0, 0x10, 0x8080808080800000)
1748799723.183816  2469 openat(0x3, 0xffffa55a26b8, 0x0, 0x0, 0x10, 0x8080808080800000)
1748799723.183854  2469 fstat(0x3, 0xffffe134a4d8, 0xffffe134a4d8, 0x3, 0x10, 0x8080808080800000)
1748799723.183881  2469 fstat(0x0, 0xffffe134a4d8, 0xffffe134a4d8, 0x3, 0x10, 0x8080808080800000)
1748799723.183904  2469 mmap(0x0, 0x697c, 0x1, 0x1, 0x3, 0x0)
1748799723.183937  2469 mmap(0xffffa541d000, 0x697c, 0x1, 0x1, 0x3, 0x0)
1748799723.183999  2469 close(0x3, 0x697c, 0x1, 0x1, 0x3, 0x0)
1748799723.184025  2469 close(0x0, 0x697c, 0x1, 0x1, 0x3, 0x0)
1748799723.184324  2469 futex(0xffffa55e9864, 0x81, 0x7fffffff, 0x0, 0x3, 0x0)
1748799723.184355  2469 futex(0x0, 0x81, 0x7fffffff, 0x0, 0x3, 0x0)
1748799723.184408  2469 getcwd(0xffffe1345540, 0x1000, 0x8d1d90, 0x0, 0x211bed5c, 0x211beefc)
1748799723.184432  2469 getcwd(0xd, 0x1000, 0x8d1d90, 0x0, 0x211bed5c, 0x211beefc)
1748799723.184479  2469 fstatat(0xffffffffffffff9c, 0x211bf2d0, 0xffffe134a810, 0x0, 0x211bf300, 0x6)
1748799723.184508  2469 fstatat(0xfffffffffffffffe, 0x211bf2d0, 0xffffe134a810, 0x0, 0x211bf300, 0x6)
1748799723.184536  2469 fstatat(0xffffffffffffff9c, 0x211bf3c0, 0xffffe134a810, 0x0, 0x211bf3e0, 0x6)
1748799723.184589  2469 fstatat(0xfffffffffffffffe, 0x211bf3c0, 0xffffe134a810, 0x0, 0x211bf3e0, 0x6)
1748799723.184621  2469 fstatat(0xffffffffffffff9c, 0x211bf430, 0xffffe134a810, 0x0, 0x211bf450, 0x6)
1748799723.184647  2469 fstatat(0xfffffffffffffffe, 0x211bf430, 0xffffe134a810, 0x0, 0x211bf450, 0x6)
1748799723.184671  2469 fstatat(0xffffffffffffff9c, 0x211bf3e0, 0xffffe134a810, 0x0, 0x211bf400, 0x2)
1748799723.184696  2469 fstatat(0xfffffffffffffffe, 0x211bf3e0, 0xffffe134a810, 0x0, 0x211bf400, 0x2)
1748799723.184726  2469 fstatat(0xffffffffffffff9c, 0x211bf300, 0xffffe134a810, 0x0, 0x211bf320, 0x2)
1748799723.184757  2469 fstatat(0x0, 0x211bf300, 0xffffe134a810, 0x0, 0x211bf320, 0x2)
1748799723.184782  2469 readlinkat(0xffffffffffffff9c, 0x211bf4a0, 0xffffe1345580, 0x1000, 0xffffe1345580, 0x2)
1748799723.184806  2469 readlinkat(0x9, 0x211bf4a0, 0xffffe1345580, 0x1000, 0xffffe1345580, 0x2)
1748799723.184830  2469 readlinkat(0xffffffffffffff9c, 0x211bf4f0, 0xffffe1345580, 0x1000, 0xffffe1345580, 0x4)
1748799723.184853  2469 readlinkat(0xffffffffffffffea, 0x211bf4f0, 0xffffe1345580, 0x1000, 0xffffe1345580, 0x4)
1748799723.184883  2469 openat(0xffffffffffffff9c, 0x211bf7a0, 0x0, 0x0, 0x8, 0x0)
1748799723.184945  2469 openat(0xfffffffffffffffe, 0x211bf7a0, 0x0, 0x0, 0x8, 0x0)
1748799723.184972  2469 openat(0xffffffffffffff9c, 0x211bf800, 0x0, 0x0, 0x8, 0x0)
1748799723.185070  2469 openat(0xfffffffffffffffe, 0x211bf800, 0x0, 0x0, 0x8, 0x0)
1748799723.185095  2469 fstatat(0xffffffffffffff9c, 0x211bf850, 0xffffe1346538, 0x0, 0x211bf880, 0x6)
1748799723.185129  2469 fstatat(0xfffffffffffffffe, 0x211bf850, 0xffffe1346538, 0x0, 0x211bf880, 0x6)
1748799723.185156  2469 fstatat(0xffffffffffffff9c, 0x211bf8d0, 0xffffe1346460, 0x0, 0x211bf900, 0x6)
1748799723.185188  2469 fstatat(0xfffffffffffffffe, 0x211bf8d0, 0xffffe1346460, 0x0, 0x211bf900, 0x6)
1748799723.185211  2469 fstatat(0xffffffffffffff9c, 0x211bf9d0, 0xffffe1346460, 0x0, 0x211bfa00, 0x6)
1748799723.185233  2469 fstatat(0xfffffffffffffffe, 0x211bf9d0, 0xffffe1346460, 0x0, 0x211bfa00, 0x6)
1748799723.185256  2469 fstatat(0xffffffffffffff9c, 0x211bfa50, 0xffffe1346460, 0x0, 0x211bfa80, 0x4)
1748799723.186847  2469 fstatat(0x0, 0x211bfa50, 0xffffe1346460, 0x0, 0x211bfa80, 0x4)
1748799723.186879  2469 openat(0xffffffffffffff9c, 0x211bfb80, 0x0, 0x0, 0x8, 0x0)
1748799723.186921  2469 openat(0xfffffffffffffffe, 0x211bfb80, 0x0, 0x0, 0x8, 0x0)
1748799723.186986  2469 fstatat(0xffffffffffffff9c, 0x211bfbf0, 0xffffe13455b0, 0x0, 0x211bfc20, 0xa)
1748799723.187014  2469 fstatat(0xfffffffffffffffe, 0x211bfbf0, 0xffffe13455b0, 0x0, 0x211bfc20, 0xa)
1748799723.187042  2469 fstatat(0xffffffffffffff9c, 0x211bfc90, 0xffffe13455b0, 0x0, 0x211bfcc0, 0x8)
1748799723.187094  2469 fstatat(0x0, 0x211bfc90, 0xffffe13455b0, 0x0, 0x211bfcc0, 0x8)
1748799723.187607  2469 getrandom(0x915c58, 0x18, 0x1, 0x0, 0x0, 0x473bc4)
1748799723.187654  2469 getrandom(0x18, 0x18, 0x1, 0x0, 0x0, 0x473bc4)
1748799723.187732  2469 mmap(0x0, 0x40000, 0x3, 0x22, 0xffffffffffffffff, 0x0)
1748799723.187767  2469 mmap(0xffffa53dd000, 0x40000, 0x3, 0x22, 0xffffffffffffffff, 0x0)
1748799723.191559  2469 mmap(0x0, 0x40000, 0x3, 0x22, 0xffffffffffffffff, 0x0)
1748799723.191600  2469 mmap(0xffffa539d000, 0x40000, 0x3, 0x22, 0xffffffffffffffff, 0x0)
1748799723.192463  2469 brk(0x21204000, 0x21204000, 0xa02f, 0x903, 0x4, 0x3)
1748799723.192493  2469 brk(0x21204000, 0x21204000, 0xa02f, 0x903, 0x4, 0x3)
1748799723.193705  2469 mmap(0x0, 0x40000, 0x3, 0x22, 0xffffffffffffffff, 0x0)
1748799723.193736  2469 mmap(0xffffa535d000, 0x40000, 0x3, 0x22, 0xffffffffffffffff, 0x0)
